run_uuid,source_update_id,candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y,native_source_x,native_source_y,native_score,hit_map_file
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_24_30_3_5,24,30,3,5,2.2572698593139648,2.2991199493408203,1.9422351121902466,1.8904975652694702,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_24_30_3_5.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_1_1_5_4,1,1,5,4,-4.3427300453186035,-6.4008798599243164,-4.8677883148193359,-6.8777780532836914,2.8815539327456123e-52,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_1_1_5_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_13_30_1_2,13,30,1,2,-1.3427300453186035,1.9991207122802734,-1.4477417469024658,1.6856710910797119,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_13_30_1_2.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_4_15_3_5,4,15,3,5,-3.7427301406860352,-2.2008800506591797,-4.057765007019043,-2.6095025539398193,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_4_15_3_5.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_1_5_5_4,1,5,5,4,-4.3427300453186035,-5.2008800506591797,-4.8677883148193359,-5.6777782440185547,4.503717782336702e-52,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_1_5_5_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_19_29_1_1,19,29,1,1,0.45727014541625977,1.3991203308105469,0.3522583544254303,1.3173960447311401,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_19_29_1_1.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_7_15_4_5,7,15,4,5,-2.5427300930023193,-2.2008800506591797,-3.1127767562866211,-2.6095025539398193,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_7_15_4_5.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_11_15_3_5,11,15,3,5,-1.6427299976348877,-2.2008800506591797,-1.9577649831771851,-2.6095025539398193,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_11_15_3_5.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_1_11_5_4,1,11,5,4,-4.3427300453186035,-3.4008798599243164,-4.8677883148193359,-3.8777778148651123,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_1_11_5_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_24_11_1_1,24,11,1,1,1.9572701454162598,-4.000880241394043,1.8522584438323975,-4.0826044082641602,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_24_11_1_1.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_1_15_3_4,1,15,3,4,-4.6427302360534668,-2.2008800506591797,-4.9577651023864746,-2.6777780055999756,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_1_15_3_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_14_30_4_5,14,30,4,5,-0.44272994995117188,2.2991199493408203,-1.0127766132354736,1.8904975652694702,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_14_30_4_5.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_1_35_3_4,1,35,3,4,-4.6427302360534668,3.7991199493408203,-4.9577651023864746,3.3222222328186035,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_1_35_3_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_1_26_5_4,1,26,5,4,-4.3427300453186035,1.0991201400756836,-4.8677883148193359,0.6222221851348877,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_1_26_5_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_4_20_5_2,4,20,5,2,-3.442730188369751,-1.0008797645568848,-3.9677882194519043,-1.3143289089202881,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_4_20_5_2.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_1_30_3_5,1,30,3,5,-4.6427302360534668,2.2991199493408203,-4.9577651023864746,1.8904975652694702,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_1_30_3_5.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_3_19_1_3,3,19,1,3,-4.3427300453186035,-1.300879955291748,-4.4477419853210449,-1.5460531711578369,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_3_19_1_3.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_6_1_5_4,6,1,5,4,-2.8427300453186035,-6.4008798599243164,-3.3677883148193359,-6.8777780532836914,2.3865829725243707e-55,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_6_1_5_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_4_35_5_4,4,35,5,4,-3.442730188369751,3.7991199493408203,-3.9677882194519043,3.3222222328186035,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_4_35_5_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_6_5_5_4,6,5,5,4,-2.8427300453186035,-5.2008800506591797,-3.3677883148193359,-5.6777782440185547,2.073362671466601e-55,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_6_5_5_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_4_30_5_5,4,30,5,5,-3.442730188369751,2.2991199493408203,-3.9677882194519043,1.8904975652694702,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_4_30_5_5.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_6_11_5_4,6,11,5,4,-2.8427300453186035,-3.4008798599243164,-3.3677883148193359,-3.8777778148651123,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_6_11_5_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_9_20_4_2,9,20,4,2,-1.942730188369751,-1.0008797645568848,-2.5127768516540527,-1.3143289089202881,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_9_20_4_2.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_6_24_4_1,6,24,4,1,-2.8427300453186035,-0.10087966918945312,-3.4127767086029053,-0.18260420858860016,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_6_24_4_1.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_9_35_1_4,9,35,1,4,-2.5427300930023193,3.7991199493408203,-2.6477417945861816,3.3222222328186035,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_9_35_1_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_9_30_1_5,9,30,1,5,-2.5427300930023193,2.2991199493408203,-2.6477417945861816,1.8904975652694702,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_9_30_1_5.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_6_25_4_5,6,25,4,5,-2.8427300453186035,0.79911994934082031,-3.4127767086029053,0.39049792289733887,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_6_25_4_5.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_10_25_2_1,10,25,2,1,-1.942730188369751,0.19912004470825195,-2.3027534484863281,0.11739587783813477,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_10_25_2_1.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_12_9_1_4,12,9,1,4,-1.6427299976348877,-4.000880241394043,-1.74774169921875,-4.4777779579162598,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_12_9_1_4.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_11_13_5_2,11,13,5,2,-1.3427300453186035,-3.1008796691894531,-1.8677883148193359,-3.4143290519714355,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_11_13_5_2.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_11_11_1_2,11,11,1,2,-1.942730188369751,-3.7008798122406006,-2.0477416515350342,-4.0143289566040039,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_11_11_1_2.f32
HCMC_NATIVE_H02_R2026092212_NAV3_20260922T065118Z,1,quadtree_12_27_1_5,12,27,1,5,-1.6427299976348877,1.3991203308105469,-1.74774169921875,0.99049794673919678,0,/home/zyc/hcmc_v1_native_runs_20260922/H02_R2026092212/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_12_27_1_5.f32
