t_sim_s,step,x,y,z,yaw,is_moving,seed
0.200000,1,-0.5000,-2.5000,0.3000,0.0000,0,12
0.400000,2,-0.5000,-2.5000,0.3000,0.0000,0,12
0.600000,3,-0.5000,-2.5000,0.3000,0.0000,0,12
0.800000,4,-0.5000,-2.5000,0.3000,0.0000,0,12
1.000000,5,-0.5000,-2.5000,0.3000,0.0000,0,12
1.200000,6,-0.5000,-2.5000,0.3000,0.0000,0,12
1.400000,7,-0.5000,-2.5000,0.3000,0.0000,0,12
1.600000,8,-0.5000,-2.5000,0.3000,0.0000,0,12
1.800000,9,-0.5000,-2.5000,0.3000,0.0000,0,12
2.000000,10,-0.5000,-2.5000,0.3000,0.0000,0,12
2.200000,11,-0.5000,-2.5000,0.3000,0.0000,0,12
2.400000,12,-0.5000,-2.5000,0.3000,0.0000,0,12
2.600000,13,-0.5000,-2.5000,0.3000,0.0000,0,12
2.800000,14,-0.5000,-2.5000,0.3000,0.0000,0,12
3.000000,15,-0.5000,-2.5000,0.3000,0.0000,0,12
3.200000,16,-0.5000,-2.5000,0.3000,0.0000,0,12
3.400000,17,-0.5000,-2.5000,0.3000,0.0000,0,12
3.600000,18,-0.5000,-2.5000,0.3000,0.0000,0,12
3.800000,19,-0.5000,-2.5000,0.3000,0.0000,0,12
4.000000,20,-0.5000,-2.5000,0.3000,0.0000,0,12
4.200000,21,-0.5000,-2.5000,0.3000,0.0000,0,12
4.400000,22,-0.5000,-2.5000,0.3000,0.0000,0,12
4.600000,23,-0.5000,-2.5000,0.3000,0.0000,0,12
4.800000,24,-0.5000,-2.5000,0.3000,0.0000,0,12
5.000000,25,-0.5000,-2.5000,0.3000,0.0000,0,12
5.200000,26,-0.5000,-2.5000,0.3000,0.0000,0,12
5.400000,27,-0.5000,-2.5000,0.3000,0.0000,0,12
5.600000,28,-0.5000,-2.5000,0.3000,0.0000,0,12
5.800000,29,-0.5000,-2.5000,0.3000,0.0000,0,12
6.000000,30,-0.5000,-2.5000,0.3000,0.0000,0,12
6.200000,31,-0.5000,-2.5000,0.3000,0.0000,0,12
6.400000,32,-0.5000,-2.5000,0.3000,0.0000,0,12
6.600000,33,-0.5000,-2.5000,0.3000,0.0000,0,12
6.800000,34,-0.5000,-2.5000,0.3000,0.0000,0,12
7.000000,35,-0.5000,-2.5000,0.3000,0.0000,0,12
7.200000,36,-0.5000,-2.5000,0.3000,0.0000,0,12
7.400000,37,-0.5000,-2.5000,0.3000,0.0000,0,12
7.600000,38,-0.5000,-2.5000,0.3000,0.0000,0,12
7.800000,39,-0.5000,-2.5000,0.3000,0.0000,0,12
8.000000,40,-0.5000,-2.5000,0.3000,0.0000,0,12
8.200000,41,-0.5000,-2.5000,0.3000,0.0000,0,12
8.400000,42,-0.5000,-2.5000,0.3000,0.0000,0,12
8.600000,43,-0.5000,-2.5000,0.3000,0.0000,0,12
8.800000,44,-0.5000,-2.5000,0.3000,0.0000,0,12
9.000000,45,-0.5000,-2.5000,0.3000,0.0000,0,12
9.200000,46,-0.5000,-2.5000,0.3000,0.0000,0,12
9.400000,47,-0.5000,-2.5000,0.3000,0.0000,0,12
9.600000,48,-0.5000,-2.5000,0.3000,0.0000,0,12
9.800000,49,-0.5000,-2.5000,0.3000,0.0000,0,12
10.000000,50,-0.5000,-2.5000,0.3000,0.0000,0,12
10.200000,51,-0.5000,-2.5000,0.3000,0.0000,0,12
10.400000,52,-0.5000,-2.5000,0.3000,0.0000,0,12
10.600000,53,-0.5000,-2.5000,0.3000,0.0000,0,12
10.800000,54,-0.5000,-2.5000,0.3000,0.0000,0,12
11.000000,55,-0.5000,-2.5000,0.3000,0.0000,0,12
11.200000,56,-0.5000,-2.5000,0.3000,0.0000,0,12
11.400000,57,-0.5000,-2.5000,0.3000,0.0000,0,12
11.600000,58,-0.5000,-2.5000,0.3000,0.0000,0,12
11.800000,59,-0.5000,-2.5000,0.3000,0.0000,0,12
12.000000,60,-0.5000,-2.5000,0.3000,0.0000,0,12
12.200000,61,-0.5000,-2.5000,0.3000,0.0000,0,12
12.400000,62,-0.5000,-2.5000,0.3000,0.0000,0,12
12.600000,63,-0.5000,-2.5000,0.3000,0.0000,0,12
12.800000,64,-0.5000,-2.5000,0.3000,0.0000,0,12
13.000000,65,-0.5000,-2.5000,0.3000,0.0000,0,12
13.200000,66,-0.5000,-2.5000,0.3000,0.0000,0,12
13.400000,67,-0.5000,-2.5000,0.3000,0.0000,0,12
13.600000,68,-0.5000,-2.5000,0.3000,0.0000,0,12
13.800000,69,-0.5000,-2.5000,0.3000,0.0000,0,12
14.000000,70,-0.5000,-2.5000,0.3000,0.0000,0,12
14.200000,71,-0.5000,-2.5000,0.3000,0.0000,0,12
14.400000,72,-0.5000,-2.5000,0.3000,0.0000,0,12
14.600000,73,-0.5000,-2.5000,0.3000,0.0000,0,12
14.800000,74,-0.5000,-2.5000,0.3000,0.0000,0,12
15.000000,75,-0.5000,-2.5000,0.3000,0.0000,0,12
15.200000,76,-0.5000,-2.5000,0.3000,0.0000,0,12
15.400000,77,-0.5000,-2.5000,0.3000,0.0000,0,12
15.600000,78,-0.5000,-2.5000,0.3000,0.0000,0,12
15.800000,79,-0.5000,-2.5000,0.3000,0.0000,0,12
16.000000,80,-0.5000,-2.5000,0.3000,0.0000,0,12
16.200000,81,-0.5000,-2.5000,0.3000,0.0000,0,12
16.400000,82,-0.5000,-2.5000,0.3000,0.0000,0,12
16.600000,83,-0.5000,-2.5000,0.3000,0.0000,0,12
16.800000,84,-0.5000,-2.5000,0.3000,0.0000,0,12
17.000000,85,-0.5000,-2.5000,0.3000,0.0000,0,12
17.200000,86,-0.5000,-2.5000,0.3000,0.0000,0,12
17.400000,87,-0.5000,-2.5000,0.3000,0.0000,0,12
17.600000,88,-0.5000,-2.5000,0.3000,0.0000,0,12
17.800000,89,-0.5000,-2.5000,0.3000,0.0000,0,12
18.000000,90,-0.5000,-2.5000,0.3000,0.0000,0,12
18.200000,91,-0.5000,-2.5000,0.3000,0.0000,0,12
18.400000,92,-0.5000,-2.5000,0.3000,0.0000,0,12
18.600000,93,-0.5000,-2.5000,0.3000,0.0000,0,12
18.800000,94,-0.5000,-2.5000,0.3000,0.0000,0,12
19.000000,95,-0.5000,-2.5000,0.3000,0.0000,0,12
19.200000,96,-0.5000,-2.5000,0.3000,0.0000,0,12
19.400000,97,-0.6855,-2.5009,0.3000,3.1416,1,12
19.600000,98,-0.9855,-2.5009,0.3000,3.1416,1,12
19.800000,99,-1.2855,-2.5009,0.3000,3.1416,1,12
20.000000,100,-1.5855,-2.5009,0.3000,3.1416,1,12
20.200000,101,-1.6427,-2.5009,0.3000,1.5608,1,12
20.400000,102,-1.6427,-2.5009,0.3000,1.5608,0,12
20.600000,103,-1.6427,-2.5009,0.3000,1.5608,0,12
20.800000,104,-1.6427,-2.5009,0.3000,1.5608,0,12
21.000000,105,-1.6427,-2.5009,0.3000,1.5608,0,12
21.200000,106,-1.6427,-2.5009,0.3000,1.5608,0,12
21.400000,107,-1.6427,-2.5009,0.3000,1.5608,0,12
21.600000,108,-1.6427,-2.5009,0.3000,1.5608,0,12
21.800000,109,-1.6427,-2.5009,0.3000,1.5608,0,12
22.000000,110,-1.6427,-2.5009,0.3000,1.5608,0,12
22.200000,111,-1.6427,-2.5009,0.3000,1.5608,0,12
22.400000,112,-1.6427,-2.5009,0.3000,1.5608,0,12
22.600000,113,-1.6427,-2.5009,0.3000,1.5608,0,12
22.800000,114,-1.6427,-2.5009,0.3000,1.5608,0,12
23.000000,115,-1.6427,-2.5009,0.3000,1.5608,0,12
23.200000,116,-1.6427,-2.5009,0.3000,1.5608,0,12
23.400000,117,-1.6427,-2.5009,0.3000,1.5608,0,12
23.600000,118,-1.6427,-2.5009,0.3000,1.5608,0,12
23.800000,119,-1.6427,-2.5009,0.3000,1.5608,0,12
24.000000,120,-1.6427,-2.5009,0.3000,1.5608,0,12
24.200000,121,-1.6427,-2.5009,0.3000,1.5608,0,12
24.400000,122,-1.6427,-2.5009,0.3000,1.5608,0,12
24.600000,123,-1.6427,-2.5009,0.3000,1.5608,0,12
24.800000,124,-1.6427,-2.5009,0.3000,1.5608,0,12
25.000000,125,-1.6427,-2.5009,0.3000,1.5608,0,12
25.200000,126,-1.6427,-2.5009,0.3000,1.5608,0,12
25.400000,127,-1.6427,-2.5009,0.3000,1.5608,0,12
25.600000,128,-1.6427,-2.5009,0.3000,1.5608,0,12
25.800000,129,-1.6427,-2.5009,0.3000,1.5608,0,12
26.000000,130,-1.6427,-2.5009,0.3000,1.5608,0,12
26.200000,131,-1.6427,-2.5009,0.3000,1.5608,0,12
26.400000,132,-1.6427,-2.5009,0.3000,1.5608,0,12
26.600000,133,-1.6427,-2.5009,0.3000,1.5608,0,12
26.800000,134,-1.6427,-2.5009,0.3000,1.5608,0,12
27.000000,135,-1.6427,-2.5009,0.3000,1.5608,0,12
27.200000,136,-1.6427,-2.5009,0.3000,1.5608,0,12
27.400000,137,-1.6427,-2.5009,0.3000,1.5608,0,12
27.600000,138,-1.6427,-2.5009,0.3000,1.5608,0,12
27.800000,139,-1.6427,-2.5009,0.3000,1.5608,0,12
28.000000,140,-1.6427,-2.5009,0.3000,1.5608,0,12
28.200000,141,-1.6427,-2.5009,0.3000,1.5608,0,12
28.400000,142,-1.6427,-2.5009,0.3000,1.5608,0,12
28.600000,143,-1.6427,-2.5009,0.3000,1.5608,0,12
28.800000,144,-1.6427,-2.5009,0.3000,1.5608,0,12
29.000000,145,-1.6427,-2.5009,0.3000,1.5608,0,12
29.200000,146,-1.6427,-2.5009,0.3000,1.5608,0,12
29.400000,147,-1.6427,-2.5009,0.3000,1.5608,0,12
29.600000,148,-1.6427,-2.5009,0.3000,1.5608,0,12
29.800000,149,-1.6427,-2.5009,0.3000,1.5608,0,12
30.000000,150,-1.6427,-2.5009,0.3000,1.5608,0,12
30.200000,151,-1.6427,-2.5009,0.3000,1.5608,0,12
30.400000,152,-1.6427,-2.5009,0.3000,1.5608,0,12
30.600000,153,-1.6427,-2.5009,0.3000,1.5608,0,12
30.800000,154,-1.6427,-2.5009,0.3000,1.5608,0,12
31.000000,155,-1.6427,-2.5009,0.3000,1.5608,0,12
31.200000,156,-1.6427,-2.5009,0.3000,1.5608,0,12
31.400000,157,-1.6427,-2.5009,0.3000,1.5608,0,12
31.600000,158,-1.6427,-2.5009,0.3000,1.5608,0,12
31.800000,159,-1.6427,-2.5009,0.3000,1.5608,0,12
32.000000,160,-1.6427,-2.5009,0.3000,1.5608,0,12
32.200000,161,-1.6427,-2.5009,0.3000,1.5608,0,12
32.400000,162,-1.6427,-2.5009,0.3000,1.5608,0,12
32.600000,163,-1.6427,-2.5009,0.3000,1.5608,0,12
32.800000,164,-1.6427,-2.5009,0.3000,1.5608,0,12
33.000000,165,-1.6427,-2.5009,0.3000,1.5608,0,12
33.200000,166,-1.6427,-2.5009,0.3000,1.5608,0,12
33.400000,167,-1.6427,-2.5009,0.3000,1.5608,0,12
33.600000,168,-1.6427,-2.5009,0.3000,1.5608,0,12
33.800000,169,-1.6427,-2.5009,0.3000,1.5608,0,12
34.000000,170,-1.6427,-2.5009,0.3000,1.5608,0,12
34.200000,171,-1.6427,-2.5009,0.3000,1.5608,0,12
34.400000,172,-1.6427,-2.5009,0.3000,1.5608,0,12
34.600000,173,-1.6427,-2.5009,0.3000,1.5608,0,12
34.800000,174,-1.6427,-2.5009,0.3000,1.5608,0,12
35.000000,175,-1.6427,-2.5009,0.3000,1.5608,0,12
35.200000,176,-1.6427,-2.5009,0.3000,1.5608,0,12
35.400000,177,-1.6427,-2.5009,0.3000,1.5608,0,12
35.600000,178,-1.6427,-2.5009,0.3000,1.5608,0,12
35.800000,179,-1.6427,-2.5009,0.3000,1.5608,0,12
36.000000,180,-1.6427,-2.5009,0.3000,1.5608,0,12
36.200000,181,-1.6427,-2.5009,0.3000,1.5608,0,12
36.400000,182,-1.9427,-2.5009,0.3000,3.1416,1,12
36.600000,183,-2.2427,-2.5009,0.3000,3.1416,1,12
36.800000,184,-2.5427,-2.5009,0.3000,3.1416,1,12
37.000000,185,-2.5427,-2.5009,0.3000,1.9470,1,12
37.200000,186,-2.5427,-2.5009,0.3000,1.9470,0,12
37.400000,187,-2.5427,-2.5009,0.3000,1.9470,0,12
37.600000,188,-2.5427,-2.5009,0.3000,1.9470,0,12
37.800000,189,-2.5427,-2.5009,0.3000,1.9470,0,12
38.000000,190,-2.5427,-2.5009,0.3000,1.9470,0,12
38.200000,191,-2.5427,-2.5009,0.3000,1.9470,0,12
38.400000,192,-2.5427,-2.5009,0.3000,1.9470,0,12
38.600000,193,-2.5427,-2.5009,0.3000,1.9470,0,12
38.800000,194,-2.5427,-2.5009,0.3000,1.9470,0,12
39.000000,195,-2.5427,-2.5009,0.3000,1.9470,0,12
39.200000,196,-2.5427,-2.5009,0.3000,1.9470,0,12
39.400000,197,-2.5427,-2.5009,0.3000,1.9470,0,12
39.600000,198,-2.5427,-2.5009,0.3000,1.9470,0,12
39.800000,199,-2.5427,-2.5009,0.3000,1.9470,0,12
40.000000,200,-2.5427,-2.5009,0.3000,1.9470,0,12
40.200000,201,-2.5427,-2.5009,0.3000,1.9470,0,12
40.400000,202,-2.5427,-2.5009,0.3000,1.9470,0,12
40.600000,203,-2.5427,-2.5009,0.3000,1.9470,0,12
40.800000,204,-2.5427,-2.5009,0.3000,1.9470,0,12
41.000000,205,-2.5427,-2.5009,0.3000,1.9470,0,12
41.200000,206,-2.5427,-2.5009,0.3000,1.9470,0,12
41.400000,207,-2.5427,-2.5009,0.3000,1.9470,0,12
41.600000,208,-2.5427,-2.5009,0.3000,1.9470,0,12
41.800000,209,-2.5427,-2.5009,0.3000,1.9470,0,12
42.000000,210,-2.5427,-2.5009,0.3000,1.9470,0,12
42.200000,211,-2.5427,-2.5009,0.3000,1.9470,0,12
42.400000,212,-2.5427,-2.5009,0.3000,1.9470,0,12
42.600000,213,-2.5427,-2.5009,0.3000,1.9470,0,12
42.800000,214,-2.5427,-2.5009,0.3000,1.9470,0,12
43.000000,215,-2.5427,-2.5009,0.3000,1.9470,0,12
