t_sim_s,step,iteration,x,y,z,wind_u,wind_v,wind_w,wind_speed,wind_direction_rad,seed
0.200000,1,1050,2.0000,0.0000,0.3000,0.252400,-0.041945,-0.100610,0.255862,-0.164680,12
0.400000,2,1051,2.0000,0.0000,0.3000,0.252400,-0.041945,-0.100610,0.255862,-0.164680,12
0.600000,3,1052,2.0000,0.0000,0.3000,0.247560,-0.042286,-0.102460,0.251145,-0.169178,12
0.800000,4,1053,2.0000,0.0000,0.3000,0.247560,-0.042286,-0.102460,0.251145,-0.169178,12
1.000000,5,1054,2.0000,0.0000,0.3000,0.239280,-0.039961,-0.105520,0.242594,-0.165478,12
1.200000,6,1055,2.0000,0.0000,0.3000,0.239280,-0.039961,-0.105520,0.242594,-0.165478,12
1.400000,7,1056,2.0000,0.0000,0.3000,0.241180,-0.038973,-0.105300,0.244309,-0.160208,12
1.600000,8,1057,2.0000,0.0000,0.3000,0.241180,-0.038973,-0.105300,0.244309,-0.160208,12
1.800000,9,1058,2.0000,0.0000,0.3000,0.241130,-0.039807,-0.104600,0.244394,-0.163610,12
2.000000,10,1059,2.0000,0.0000,0.3000,0.241130,-0.039807,-0.104600,0.244394,-0.163610,12
2.200000,11,1060,2.0000,0.0000,0.3000,0.066954,-0.086807,0.073412,0.109628,-0.913804,12
2.400000,12,1061,2.0000,0.0000,0.3000,0.066954,-0.086807,0.073412,0.109628,-0.913804,12
2.600000,13,1062,2.0000,0.0000,0.3000,0.065400,-0.012730,-0.007192,0.066627,-0.192244,12
2.800000,14,1063,2.0000,0.0000,0.3000,0.065400,-0.012730,-0.007192,0.066627,-0.192244,12
3.000000,15,1064,2.0000,0.0000,0.3000,0.149390,-0.029809,-0.048974,0.152335,-0.196951,12
3.200000,16,1065,2.0000,0.0000,0.3000,0.149390,-0.029809,-0.048974,0.152335,-0.196951,12
3.400000,17,1066,2.0000,0.0000,0.3000,0.142640,-0.029805,-0.105450,0.145721,-0.205989,12
3.600000,18,1067,2.0000,0.0000,0.3000,0.142640,-0.029805,-0.105450,0.145721,-0.205989,12
3.800000,19,1068,2.0000,0.0000,0.3000,0.208710,-0.036840,-0.110010,0.211936,-0.174713,12
4.000000,20,1069,2.0000,0.0000,0.3000,0.208710,-0.036840,-0.110010,0.211936,-0.174713,12
4.200000,21,1070,2.0000,0.0000,0.3000,0.252400,-0.041945,-0.100610,0.255862,-0.164680,12
4.400000,22,1071,2.0000,0.0000,0.3000,0.252400,-0.041945,-0.100610,0.255862,-0.164680,12
4.600000,23,1072,2.0000,0.0000,0.3000,0.247560,-0.042286,-0.102460,0.251145,-0.169178,12
4.800000,24,1073,2.0000,0.0000,0.3000,0.247560,-0.042286,-0.102460,0.251145,-0.169178,12
5.000000,25,1074,2.0000,0.0000,0.3000,0.239280,-0.039961,-0.105520,0.242594,-0.165478,12
5.200000,26,1075,2.0000,0.0000,0.3000,0.239280,-0.039961,-0.105520,0.242594,-0.165478,12
5.400000,27,1076,2.0000,0.0000,0.3000,0.241180,-0.038973,-0.105300,0.244309,-0.160208,12
5.600000,28,1077,2.0000,0.0000,0.3000,0.241180,-0.038973,-0.105300,0.244309,-0.160208,12
5.800000,29,1078,2.0000,0.0000,0.3000,0.241130,-0.039807,-0.104600,0.244394,-0.163610,12
6.000000,30,1079,2.0000,0.0000,0.3000,0.241130,-0.039807,-0.104600,0.244394,-0.163610,12
6.200000,31,1080,2.0000,0.0000,0.3000,0.066954,-0.086807,0.073412,0.109628,-0.913804,12
6.400000,32,1081,2.0000,0.0000,0.3000,0.066954,-0.086807,0.073412,0.109628,-0.913804,12
6.600000,33,1082,2.0000,0.0000,0.3000,0.065400,-0.012730,-0.007192,0.066627,-0.192244,12
6.800000,34,1083,2.0000,0.0000,0.3000,0.065400,-0.012730,-0.007192,0.066627,-0.192244,12
7.000000,35,1084,2.0000,0.0000,0.3000,0.149390,-0.029809,-0.048974,0.152335,-0.196951,12
7.200000,36,1085,2.0000,0.0000,0.3000,0.149390,-0.029809,-0.048974,0.152335,-0.196951,12
7.400000,37,1086,2.0000,0.0000,0.3000,0.142640,-0.029805,-0.105450,0.145721,-0.205989,12
7.600000,38,1087,2.0000,0.0000,0.3000,0.142640,-0.029805,-0.105450,0.145721,-0.205989,12
7.800000,39,1088,2.0000,0.0000,0.3000,0.208710,-0.036840,-0.110010,0.211936,-0.174713,12
8.000000,40,1089,2.0000,0.0000,0.3000,0.208710,-0.036840,-0.110010,0.211936,-0.174713,12
8.200000,41,1090,2.0000,0.0000,0.3000,0.252400,-0.041945,-0.100610,0.255862,-0.164680,12
8.400000,42,1091,2.0000,0.0000,0.3000,0.252400,-0.041945,-0.100610,0.255862,-0.164680,12
8.600000,43,1092,2.0000,0.0000,0.3000,0.247560,-0.042286,-0.102460,0.251145,-0.169178,12
8.800000,44,1093,2.0000,0.0000,0.3000,0.247560,-0.042286,-0.102460,0.251145,-0.169178,12
9.000000,45,1094,2.0000,0.0000,0.3000,0.239280,-0.039961,-0.105520,0.242594,-0.165478,12
9.200000,46,1095,2.0000,0.0000,0.3000,0.239280,-0.039961,-0.105520,0.242594,-0.165478,12
9.400000,47,1096,2.0000,0.0000,0.3000,0.241180,-0.038973,-0.105300,0.244309,-0.160208,12
9.600000,48,1097,2.0000,0.0000,0.3000,0.241180,-0.038973,-0.105300,0.244309,-0.160208,12
9.800000,49,1098,2.0000,0.0000,0.3000,0.241130,-0.039807,-0.104600,0.244394,-0.163610,12
10.000000,50,1099,2.0000,0.0000,0.3000,0.241130,-0.039807,-0.104600,0.244394,-0.163610,12
10.200000,51,1100,2.0000,0.0000,0.3000,0.066954,-0.086807,0.073412,0.109628,-0.913804,12
10.400000,52,1101,2.0000,0.0000,0.3000,0.066954,-0.086807,0.073412,0.109628,-0.913804,12
10.600000,53,1102,2.0000,0.0000,0.3000,0.065400,-0.012730,-0.007192,0.066627,-0.192244,12
10.800000,54,1103,2.0000,0.0000,0.3000,0.065400,-0.012730,-0.007192,0.066627,-0.192244,12
11.000000,55,1104,2.0000,0.0000,0.3000,0.149390,-0.029809,-0.048974,0.152335,-0.196951,12
11.200000,56,1105,2.0000,0.0000,0.3000,0.149390,-0.029809,-0.048974,0.152335,-0.196951,12
11.400000,57,1106,2.0000,0.0000,0.3000,0.142640,-0.029805,-0.105450,0.145721,-0.205989,12
11.600000,58,1107,2.0000,0.0000,0.3000,0.142640,-0.029805,-0.105450,0.145721,-0.205989,12
11.800000,59,1108,2.0000,0.0000,0.3000,0.208710,-0.036840,-0.110010,0.211936,-0.174713,12
12.000000,60,1109,2.0000,0.0000,0.3000,0.208710,-0.036840,-0.110010,0.211936,-0.174713,12
12.200000,61,1110,2.0000,0.0000,0.3000,0.252400,-0.041945,-0.100610,0.255862,-0.164680,12
12.400000,62,1111,2.0000,0.0000,0.3000,0.252400,-0.041945,-0.100610,0.255862,-0.164680,12
12.600000,63,1112,2.0000,0.0000,0.3000,0.247560,-0.042286,-0.102460,0.251145,-0.169178,12
12.800000,64,1113,2.0000,0.0000,0.3000,0.247560,-0.042286,-0.102460,0.251145,-0.169178,12
13.000000,65,1114,2.0000,0.0000,0.3000,0.239280,-0.039961,-0.105520,0.242594,-0.165478,12
13.200000,66,1115,2.0000,0.0000,0.3000,0.239280,-0.039961,-0.105520,0.242594,-0.165478,12
13.400000,67,1116,2.0000,0.0000,0.3000,0.241180,-0.038973,-0.105300,0.244309,-0.160208,12
13.600000,68,1117,2.0000,0.0000,0.3000,0.241180,-0.038973,-0.105300,0.244309,-0.160208,12
13.800000,69,1118,2.0000,0.0000,0.3000,0.241130,-0.039807,-0.104600,0.244394,-0.163610,12
14.000000,70,1119,2.0000,0.0000,0.3000,0.241130,-0.039807,-0.104600,0.244394,-0.163610,12
14.200000,71,1120,2.0000,0.0000,0.3000,0.066954,-0.086807,0.073412,0.109628,-0.913804,12
14.400000,72,1121,2.0000,0.0000,0.3000,0.066954,-0.086807,0.073412,0.109628,-0.913804,12
14.600000,73,1122,2.0000,0.0000,0.3000,0.065400,-0.012730,-0.007192,0.066627,-0.192244,12
14.800000,74,1123,2.0000,0.0000,0.3000,0.065400,-0.012730,-0.007192,0.066627,-0.192244,12
15.000000,75,1124,2.0000,0.0000,0.3000,0.149390,-0.029809,-0.048974,0.152335,-0.196951,12
15.200000,76,1125,2.0000,0.0000,0.3000,0.149390,-0.029809,-0.048974,0.152335,-0.196951,12
15.400000,77,1126,2.0000,0.0000,0.3000,0.142640,-0.029805,-0.105450,0.145721,-0.205989,12
15.600000,78,1127,2.0000,0.0000,0.3000,0.142640,-0.029805,-0.105450,0.145721,-0.205989,12
15.800000,79,1128,2.0000,0.0000,0.3000,0.208710,-0.036840,-0.110010,0.211936,-0.174713,12
16.000000,80,1129,2.0000,0.0000,0.3000,0.208710,-0.036840,-0.110010,0.211936,-0.174713,12
16.200000,81,1130,2.0000,0.0000,0.3000,0.252400,-0.041945,-0.100610,0.255862,-0.164680,12
16.400000,82,1131,2.0000,0.0000,0.3000,0.252400,-0.041945,-0.100610,0.255862,-0.164680,12
16.600000,83,1132,2.0000,0.0000,0.3000,0.247560,-0.042286,-0.102460,0.251145,-0.169178,12
16.800000,84,1133,2.0000,0.0000,0.3000,0.247560,-0.042286,-0.102460,0.251145,-0.169178,12
17.000000,85,1134,2.0000,0.0000,0.3000,0.239280,-0.039961,-0.105520,0.242594,-0.165478,12
17.200000,86,1135,2.0000,0.0000,0.3000,0.239280,-0.039961,-0.105520,0.242594,-0.165478,12
17.400000,87,1136,2.0000,0.0000,0.3000,0.241180,-0.038973,-0.105300,0.244309,-0.160208,12
17.600000,88,1137,2.0000,0.0000,0.3000,0.241180,-0.038973,-0.105300,0.244309,-0.160208,12
17.800000,89,1138,2.0000,0.0000,0.3000,0.241130,-0.039807,-0.104600,0.244394,-0.163610,12
18.000000,90,1139,2.0000,0.0000,0.3000,0.241130,-0.039807,-0.104600,0.244394,-0.163610,12
18.200000,91,1140,2.0000,0.0000,0.3000,0.066954,-0.086807,0.073412,0.109628,-0.913804,12
18.400000,92,1141,2.0000,0.0000,0.3000,0.066954,-0.086807,0.073412,0.109628,-0.913804,12
18.600000,93,1142,2.0000,0.0000,0.3000,0.065400,-0.012730,-0.007192,0.066627,-0.192244,12
18.800000,94,1143,2.0000,0.0000,0.3000,0.065400,-0.012730,-0.007192,0.066627,-0.192244,12
19.000000,95,1144,2.0000,0.0000,0.3000,0.149390,-0.029809,-0.048974,0.152335,-0.196951,12
19.200000,96,1145,2.0000,0.0000,0.3000,0.149390,-0.029809,-0.048974,0.152335,-0.196951,12
19.400000,97,1146,2.0000,0.0000,0.3000,0.142640,-0.029805,-0.105450,0.145721,-0.205989,12
19.600000,98,1147,1.7870,0.0870,0.3000,0.140910,-0.015434,-0.111040,0.141753,-0.109096,12
19.800000,99,1148,1.4870,0.0870,0.3000,0.227330,-0.095011,-0.069804,0.246386,-0.395878,12
20.000000,100,1149,1.2494,0.2376,0.3000,0.151680,-0.184040,-0.046744,0.238490,-0.881491,12
20.200000,101,1150,1.1000,0.3870,0.3000,0.128900,-0.231230,-0.031567,0.264731,-1.062249,12
20.400000,102,1151,1.1000,0.3870,0.3000,0.128900,-0.231230,-0.031567,0.264731,-1.062249,12
20.600000,103,1152,1.1000,0.3870,0.3000,0.118550,-0.226680,-0.038305,0.255808,-1.088931,12
20.800000,104,1153,1.1000,0.3870,0.3000,0.118550,-0.226680,-0.038305,0.255808,-1.088931,12
21.000000,105,1154,1.1000,0.3870,0.3000,0.122780,-0.226360,-0.040887,0.257515,-1.073799,12
21.200000,106,1155,1.1000,0.3870,0.3000,0.122780,-0.226360,-0.040887,0.257515,-1.073799,12
21.400000,107,1156,1.1000,0.3870,0.3000,0.119230,-0.227200,-0.042328,0.256585,-1.087522,12
21.600000,108,1157,1.1000,0.3870,0.3000,0.119230,-0.227200,-0.042328,0.256585,-1.087522,12
21.800000,109,1158,1.1000,0.3870,0.3000,0.122190,-0.226830,-0.041900,0.257648,-1.076681,12
22.000000,110,1159,1.1000,0.3870,0.3000,0.122190,-0.226830,-0.041900,0.257648,-1.076681,12
22.200000,111,1160,1.1000,0.3870,0.3000,-0.030460,-0.142610,0.110530,0.145827,-1.781224,12
22.400000,112,1161,1.1000,0.3870,0.3000,-0.030460,-0.142610,0.110530,0.145827,-1.781224,12
22.600000,113,1162,1.1000,0.3870,0.3000,0.039456,-0.103930,-0.045048,0.111168,-1.207964,12
22.800000,114,1163,1.1000,0.3870,0.3000,0.039456,-0.103930,-0.045048,0.111168,-1.207964,12
23.000000,115,1164,1.1000,0.3870,0.3000,0.046945,-0.158970,-0.016479,0.165757,-1.283650,12
23.200000,116,1165,1.1000,0.3870,0.3000,0.046945,-0.158970,-0.016479,0.165757,-1.283650,12
23.400000,117,1166,1.1000,0.3870,0.3000,0.072172,-0.192940,-0.052785,0.205997,-1.212846,12
23.600000,118,1167,1.1000,0.3870,0.3000,0.072172,-0.192940,-0.052785,0.205997,-1.212846,12
23.800000,119,1168,1.1000,0.3870,0.3000,0.118510,-0.221500,-0.042353,0.251211,-1.079516,12
24.000000,120,1169,1.1000,0.3870,0.3000,0.118510,-0.221500,-0.042353,0.251211,-1.079516,12
24.200000,121,1170,1.1000,0.3870,0.3000,0.128900,-0.231230,-0.031567,0.264731,-1.062249,12
24.400000,122,1171,1.1000,0.3870,0.3000,0.128900,-0.231230,-0.031567,0.264731,-1.062249,12
24.600000,123,1172,1.1000,0.3870,0.3000,0.118550,-0.226680,-0.038305,0.255808,-1.088931,12
24.800000,124,1173,1.1000,0.3870,0.3000,0.118550,-0.226680,-0.038305,0.255808,-1.088931,12
25.000000,125,1174,1.1000,0.3870,0.3000,0.122780,-0.226360,-0.040887,0.257515,-1.073799,12
25.200000,126,1175,1.1000,0.3870,0.3000,0.122780,-0.226360,-0.040887,0.257515,-1.073799,12
25.400000,127,1176,1.1000,0.3870,0.3000,0.119230,-0.227200,-0.042328,0.256585,-1.087522,12
25.600000,128,1177,1.1000,0.3870,0.3000,0.119230,-0.227200,-0.042328,0.256585,-1.087522,12
25.800000,129,1178,1.1000,0.3870,0.3000,0.122190,-0.226830,-0.041900,0.257648,-1.076681,12
26.000000,130,1179,1.1000,0.3870,0.3000,0.122190,-0.226830,-0.041900,0.257648,-1.076681,12
26.200000,131,1180,1.1000,0.3870,0.3000,-0.030460,-0.142610,0.110530,0.145827,-1.781224,12
26.400000,132,1181,1.1000,0.3870,0.3000,-0.030460,-0.142610,0.110530,0.145827,-1.781224,12
26.600000,133,1182,1.1000,0.3870,0.3000,0.039456,-0.103930,-0.045048,0.111168,-1.207964,12
26.800000,134,1183,1.1000,0.3870,0.3000,0.039456,-0.103930,-0.045048,0.111168,-1.207964,12
27.000000,135,1184,1.1000,0.3870,0.3000,0.046945,-0.158970,-0.016479,0.165757,-1.283650,12
27.200000,136,1185,1.1000,0.3870,0.3000,0.046945,-0.158970,-0.016479,0.165757,-1.283650,12
27.400000,137,1186,1.1000,0.3870,0.3000,0.072172,-0.192940,-0.052785,0.205997,-1.212846,12
27.600000,138,1187,1.1000,0.3870,0.3000,0.072172,-0.192940,-0.052785,0.205997,-1.212846,12
27.800000,139,1188,1.1000,0.3870,0.3000,0.118510,-0.221500,-0.042353,0.251211,-1.079516,12
28.000000,140,1189,1.1000,0.3870,0.3000,0.118510,-0.221500,-0.042353,0.251211,-1.079516,12
28.200000,141,1190,1.1000,0.3870,0.3000,0.128900,-0.231230,-0.031567,0.264731,-1.062249,12
28.400000,142,1191,1.1000,0.3870,0.3000,0.128900,-0.231230,-0.031567,0.264731,-1.062249,12
28.600000,143,1192,1.1000,0.3870,0.3000,0.118550,-0.226680,-0.038305,0.255808,-1.088931,12
28.800000,144,1193,1.1000,0.3870,0.3000,0.118550,-0.226680,-0.038305,0.255808,-1.088931,12
29.000000,145,1194,1.1000,0.3870,0.3000,0.122780,-0.226360,-0.040887,0.257515,-1.073799,12
29.200000,146,1195,1.1000,0.3870,0.3000,0.122780,-0.226360,-0.040887,0.257515,-1.073799,12
29.400000,147,1196,1.1000,0.3870,0.3000,0.119230,-0.227200,-0.042328,0.256585,-1.087522,12
29.600000,148,1197,1.1000,0.3870,0.3000,0.119230,-0.227200,-0.042328,0.256585,-1.087522,12
29.800000,149,1198,1.1000,0.3870,0.3000,0.122190,-0.226830,-0.041900,0.257648,-1.076681,12
30.000000,150,1199,1.1000,0.3870,0.3000,0.122190,-0.226830,-0.041900,0.257648,-1.076681,12
30.200000,151,1200,1.1000,0.3870,0.3000,-0.030460,-0.142610,0.110530,0.145827,-1.781224,12
30.400000,152,1201,1.1000,0.3870,0.3000,-0.030460,-0.142610,0.110530,0.145827,-1.781224,12
30.600000,153,1202,1.1000,0.3870,0.3000,0.039456,-0.103930,-0.045048,0.111168,-1.207964,12
30.800000,154,1203,1.1000,0.3870,0.3000,0.039456,-0.103930,-0.045048,0.111168,-1.207964,12
31.000000,155,1204,1.1000,0.3870,0.3000,0.046945,-0.158970,-0.016479,0.165757,-1.283650,12
31.200000,156,1205,1.1000,0.3870,0.3000,0.046945,-0.158970,-0.016479,0.165757,-1.283650,12
31.400000,157,1206,1.1000,0.3870,0.3000,0.072172,-0.192940,-0.052785,0.205997,-1.212846,12
31.600000,158,1207,1.1000,0.3870,0.3000,0.072172,-0.192940,-0.052785,0.205997,-1.212846,12
31.800000,159,1208,1.1000,0.3870,0.3000,0.118510,-0.221500,-0.042353,0.251211,-1.079516,12
32.000000,160,1209,1.1000,0.3870,0.3000,0.118510,-0.221500,-0.042353,0.251211,-1.079516,12
32.200000,161,1210,1.1000,0.3870,0.3000,0.128900,-0.231230,-0.031567,0.264731,-1.062249,12
32.400000,162,1211,1.1000,0.3870,0.3000,0.128900,-0.231230,-0.031567,0.264731,-1.062249,12
32.600000,163,1212,1.1000,0.3870,0.3000,0.118550,-0.226680,-0.038305,0.255808,-1.088931,12
32.800000,164,1213,1.1000,0.3870,0.3000,0.118550,-0.226680,-0.038305,0.255808,-1.088931,12
33.000000,165,1214,1.1000,0.3870,0.3000,0.122780,-0.226360,-0.040887,0.257515,-1.073799,12
33.200000,166,1215,1.1000,0.3870,0.3000,0.122780,-0.226360,-0.040887,0.257515,-1.073799,12
33.400000,167,1216,1.1000,0.3870,0.3000,0.119230,-0.227200,-0.042328,0.256585,-1.087522,12
33.600000,168,1217,1.1000,0.3870,0.3000,0.119230,-0.227200,-0.042328,0.256585,-1.087522,12
33.800000,169,1218,1.1000,0.3870,0.3000,0.122190,-0.226830,-0.041900,0.257648,-1.076681,12
34.000000,170,1219,1.1000,0.3870,0.3000,0.122190,-0.226830,-0.041900,0.257648,-1.076681,12
34.200000,171,1220,1.1000,0.3870,0.3000,-0.030460,-0.142610,0.110530,0.145827,-1.781224,12
34.400000,172,1221,1.1000,0.3870,0.3000,-0.030460,-0.142610,0.110530,0.145827,-1.781224,12
34.600000,173,1222,1.1000,0.3870,0.3000,0.039456,-0.103930,-0.045048,0.111168,-1.207964,12
34.800000,174,1223,1.1000,0.3870,0.3000,0.039456,-0.103930,-0.045048,0.111168,-1.207964,12
35.000000,175,1224,1.1000,0.3870,0.3000,0.046945,-0.158970,-0.016479,0.165757,-1.283650,12
35.200000,176,1225,1.1000,0.3870,0.3000,0.046945,-0.158970,-0.016479,0.165757,-1.283650,12
35.400000,177,1226,1.1000,0.3870,0.3000,0.072172,-0.192940,-0.052785,0.205997,-1.212846,12
35.600000,178,1227,1.1000,0.3870,0.3000,0.072172,-0.192940,-0.052785,0.205997,-1.212846,12
35.800000,179,1228,1.1000,0.3870,0.3000,0.118510,-0.221500,-0.042353,0.251211,-1.079516,12
36.000000,180,1229,1.1000,0.3870,0.3000,0.118510,-0.221500,-0.042353,0.251211,-1.079516,12
36.200000,181,1230,1.1000,0.3870,0.3000,0.128900,-0.231230,-0.031567,0.264731,-1.062249,12
36.400000,182,1231,0.8000,0.3870,0.3000,0.331970,-0.723400,-0.015037,0.795934,-1.140564,12
36.600000,183,1232,0.5000,0.3870,0.3000,0.303240,-0.993520,0.008169,1.038767,-1.274559,12
36.800000,184,1233,0.2000,0.3870,0.3000,0.158820,-0.530850,-0.112060,0.554099,-1.280091,12
37.000000,185,1234,0.2000,0.3870,0.3000,0.158920,-0.531400,-0.112060,0.554654,-1.280203,12
37.200000,186,1235,0.2000,0.3870,0.3000,0.158920,-0.531400,-0.112060,0.554654,-1.280203,12
37.400000,187,1236,0.2000,0.3870,0.3000,0.158980,-0.531880,-0.112340,0.555132,-1.280347,12
37.600000,188,1237,0.2000,0.3870,0.3000,0.158980,-0.531880,-0.112340,0.555132,-1.280347,12
37.800000,189,1238,0.2000,0.3870,0.3000,0.158910,-0.532330,-0.112480,0.555543,-1.280700,12
38.000000,190,1239,0.2000,0.3870,0.3000,0.158910,-0.532330,-0.112480,0.555543,-1.280700,12
38.200000,191,1240,0.2000,0.3870,0.3000,0.161630,-0.543120,-0.141460,0.566660,-1.281547,12
38.400000,192,1241,0.2000,0.3870,0.3000,0.161630,-0.543120,-0.141460,0.566660,-1.281547,12
38.600000,193,1242,0.2000,0.3870,0.3000,0.148980,-0.557750,-0.109580,0.577304,-1.309781,12
38.800000,194,1243,0.2000,0.3870,0.3000,0.148980,-0.557750,-0.109580,0.577304,-1.309781,12
39.000000,195,1244,0.2000,0.3870,0.3000,0.156400,-0.544430,-0.104130,0.566449,-1.291056,12
39.200000,196,1245,0.2000,0.3870,0.3000,0.156400,-0.544430,-0.104130,0.566449,-1.291056,12
39.400000,197,1246,0.2000,0.3870,0.3000,0.156930,-0.529260,-0.106280,0.552035,-1.282546,12
39.600000,198,1247,0.2000,0.3870,0.3000,0.156930,-0.529260,-0.106280,0.552035,-1.282546,12
39.800000,199,1248,0.2000,0.3870,0.3000,0.157880,-0.530450,-0.110460,0.553447,-1.281512,12
40.000000,200,1249,0.2000,0.3870,0.3000,0.157880,-0.530450,-0.110460,0.553447,-1.281512,12
40.200000,201,1250,0.2000,0.3870,0.3000,0.158550,-0.527540,-0.111880,0.550851,-1.278839,12
40.400000,202,1251,0.2000,0.3870,0.3000,0.158550,-0.527540,-0.111880,0.550851,-1.278839,12
40.600000,203,1252,0.2000,0.3870,0.3000,0.158820,-0.530850,-0.112060,0.554099,-1.280091,12
40.800000,204,1253,0.2000,0.3870,0.3000,0.158820,-0.530850,-0.112060,0.554099,-1.280091,12
41.000000,205,1254,0.2000,0.3870,0.3000,0.158920,-0.531400,-0.112060,0.554654,-1.280203,12
41.200000,206,1255,0.2000,0.3870,0.3000,0.158920,-0.531400,-0.112060,0.554654,-1.280203,12
41.400000,207,1256,0.2000,0.3870,0.3000,0.158980,-0.531880,-0.112340,0.555132,-1.280347,12
41.600000,208,1257,0.2000,0.3870,0.3000,0.158980,-0.531880,-0.112340,0.555132,-1.280347,12
41.800000,209,1258,0.2000,0.3870,0.3000,0.158910,-0.532330,-0.112480,0.555543,-1.280700,12
42.000000,210,1259,0.2000,0.3870,0.3000,0.158910,-0.532330,-0.112480,0.555543,-1.280700,12
42.200000,211,1260,0.2000,0.3870,0.3000,0.161630,-0.543120,-0.141460,0.566660,-1.281547,12
42.400000,212,1261,0.2000,0.3870,0.3000,0.161630,-0.543120,-0.141460,0.566660,-1.281547,12
42.600000,213,1262,0.2000,0.3870,0.3000,0.148980,-0.557750,-0.109580,0.577304,-1.309781,12
42.800000,214,1263,0.2000,0.3870,0.3000,0.148980,-0.557750,-0.109580,0.577304,-1.309781,12
43.000000,215,1264,0.2000,0.3870,0.3000,0.156400,-0.544430,-0.104130,0.566449,-1.291056,12
43.200000,216,1265,0.2000,0.3870,0.3000,0.156400,-0.544430,-0.104130,0.566449,-1.291056,12
43.400000,217,1266,0.2000,0.3870,0.3000,0.156930,-0.529260,-0.106280,0.552035,-1.282546,12
43.600000,218,1267,0.2000,0.3870,0.3000,0.156930,-0.529260,-0.106280,0.552035,-1.282546,12
43.800000,219,1268,0.2000,0.3870,0.3000,0.157880,-0.530450,-0.110460,0.553447,-1.281512,12
44.000000,220,1269,0.2000,0.3870,0.3000,0.157880,-0.530450,-0.110460,0.553447,-1.281512,12
44.200000,221,1270,0.2000,0.3870,0.3000,0.158550,-0.527540,-0.111880,0.550851,-1.278839,12
44.400000,222,1271,0.2000,0.3870,0.3000,0.158550,-0.527540,-0.111880,0.550851,-1.278839,12
44.600000,223,1272,0.2000,0.3870,0.3000,0.158820,-0.530850,-0.112060,0.554099,-1.280091,12
44.800000,224,1273,0.2000,0.3870,0.3000,0.158820,-0.530850,-0.112060,0.554099,-1.280091,12
45.000000,225,1274,0.2000,0.3870,0.3000,0.158920,-0.531400,-0.112060,0.554654,-1.280203,12
45.200000,226,1275,0.2000,0.3870,0.3000,0.158920,-0.531400,-0.112060,0.554654,-1.280203,12
45.400000,227,1276,0.2000,0.3870,0.3000,0.158980,-0.531880,-0.112340,0.555132,-1.280347,12
45.600000,228,1277,0.2000,0.3870,0.3000,0.158980,-0.531880,-0.112340,0.555132,-1.280347,12
45.800000,229,1278,0.2000,0.3870,0.3000,0.158910,-0.532330,-0.112480,0.555543,-1.280700,12
46.000000,230,1279,0.2000,0.3870,0.3000,0.158910,-0.532330,-0.112480,0.555543,-1.280700,12
46.200000,231,1280,0.2000,0.3870,0.3000,0.161630,-0.543120,-0.141460,0.566660,-1.281547,12
46.400000,232,1281,0.2000,0.3870,0.3000,0.161630,-0.543120,-0.141460,0.566660,-1.281547,12
46.600000,233,1282,0.2000,0.3870,0.3000,0.148980,-0.557750,-0.109580,0.577304,-1.309781,12
46.800000,234,1283,0.2000,0.3870,0.3000,0.148980,-0.557750,-0.109580,0.577304,-1.309781,12
47.000000,235,1284,0.2000,0.3870,0.3000,0.156400,-0.544430,-0.104130,0.566449,-1.291056,12
47.200000,236,1285,0.2000,0.3870,0.3000,0.156400,-0.544430,-0.104130,0.566449,-1.291056,12
47.400000,237,1286,0.2000,0.3870,0.3000,0.156930,-0.529260,-0.106280,0.552035,-1.282546,12
47.600000,238,1287,0.2000,0.3870,0.3000,0.156930,-0.529260,-0.106280,0.552035,-1.282546,12
47.800000,239,1288,0.2000,0.3870,0.3000,0.157880,-0.530450,-0.110460,0.553447,-1.281512,12
48.000000,240,1289,0.2000,0.3870,0.3000,0.157880,-0.530450,-0.110460,0.553447,-1.281512,12
48.200000,241,1290,0.2000,0.3870,0.3000,0.158550,-0.527540,-0.111880,0.550851,-1.278839,12
48.400000,242,1291,0.2000,0.3870,0.3000,0.158550,-0.527540,-0.111880,0.550851,-1.278839,12
48.600000,243,1292,0.2000,0.3870,0.3000,0.158820,-0.530850,-0.112060,0.554099,-1.280091,12
48.800000,244,1293,0.2000,0.3870,0.3000,0.158820,-0.530850,-0.112060,0.554099,-1.280091,12
49.000000,245,1294,0.2000,0.3870,0.3000,0.158920,-0.531400,-0.112060,0.554654,-1.280203,12
49.200000,246,1295,0.2000,0.3870,0.3000,0.158920,-0.531400,-0.112060,0.554654,-1.280203,12
49.400000,247,1296,0.2000,0.3870,0.3000,0.158980,-0.531880,-0.112340,0.555132,-1.280347,12
49.600000,248,1297,0.2000,0.3870,0.3000,0.158980,-0.531880,-0.112340,0.555132,-1.280347,12
49.800000,249,1298,0.2000,0.3870,0.3000,0.158910,-0.532330,-0.112480,0.555543,-1.280700,12
50.000000,250,1299,0.2000,0.3870,0.3000,0.158910,-0.532330,-0.112480,0.555543,-1.280700,12
50.200000,251,1300,0.2000,0.3870,0.3000,0.161630,-0.543120,-0.141460,0.566660,-1.281547,12
50.400000,252,1301,0.2000,0.3870,0.3000,0.161630,-0.543120,-0.141460,0.566660,-1.281547,12
50.600000,253,1302,0.2000,0.3870,0.3000,0.148980,-0.557750,-0.109580,0.577304,-1.309781,12
