t_sim_s,step,x,y,z,yaw,vx,vy,vz
0.0,1,-0.8427300453186035,-6.300879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
0.2,2,-0.9127300453186035,-6.300879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
0.4,3,-0.9827300453186035,-6.300879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
0.6000000000000001,4,-1.0427303314208984,-6.310879669189453,0.4,-1.5707963267948966,0.0,-0.35,0.0
0.8,5,-1.0427303314208984,-6.380879669189453,0.4,-1.5707963267948966,0.0,-0.35,0.0
1.0,6,-1.0927301406860352,-6.400879859924316,0.4,3.141592653589793,-0.35,0.0,0.0
1.2000000000000002,7,-1.162730140686035,-6.400879859924316,0.4,3.141592653589793,-0.35,0.0,0.0
1.4000000000000001,8,-1.2327301406860351,-6.400879859924316,0.4,3.141592653589793,-0.35,0.0,0.0
1.6,9,-1.2427301406860352,-6.460879859924316,0.4,-1.5707963267948966,0.0,-0.35,0.0
1.8,10,-1.2727297592163085,-6.500880241394043,0.4,3.141592653589793,-0.35,0.0,0.0
2.0,11,-1.3427297592163085,-6.500880241394043,0.4,3.141592653589793,-0.35,0.0,0.0
2.2,12,-1.4127297592163086,-6.500880241394043,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
2.4000000000000004,13,-1.4827297592163087,-6.500880241394043,0.4,3.141592653589793,-0.35,0.0,0.0
2.6,14,-1.5427300930023193,-6.510879907608032,0.4,-1.5707963267948966,0.0,-0.35,0.0
2.8000000000000003,15,-1.5427300930023193,-6.580879907608033,0.4,-1.5707963267948966,0.0,-0.35,0.0
3.0,16,-1.59272985458374,-6.600880146026611,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
3.2,17,-1.6427302360534668,-6.620879764556885,0.4,-1.5707963267948966,0.0,-0.35,0.0
3.4000000000000004,18,-1.6427302360534668,-6.690879764556884,0.4,-1.5707963267948966,0.0,-0.35,0.0
3.6,19,-1.7027299499511719,-6.70088005065918,0.4,3.141592653589793,-0.35,0.0,0.0
3.8000000000000003,20,-1.7427301406860352,-6.7308798599243165,0.4,-1.5707963267948966,0.0,-0.35,0.0
4.0,21,-1.7427301406860352,-6.800879859924317,0.4,-1.5707963267948966,0.0,-0.35,0.0
4.2,22,-1.7427301406860352,-6.870879859924316,0.4,-1.5707963267948966,0.0,-0.35,0.0
4.4,23,-1.7427301406860352,-6.940879859924316,0.4,-1.5707963267948966,0.0,-0.35,0.0
4.6000000000000005,24,-1.7527297592163087,-7.000880241394043,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
4.800000000000001,25,-1.8227297592163088,-7.000880241394043,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
5.0,26,-1.8427302837371826,-7.050879716873169,0.4,-1.5707963267948966,0.0,-0.35,0.0
