x,y
-5.14273,-7.20088
-5.14273,-7.10088
-5.14273,-7.0008799999999995
-5.14273,-6.90088
-5.14273,-6.800879999999999
-5.14273,-6.70088
-5.14273,-6.60088
-5.14273,-6.5008799999999995
-5.14273,-6.40088
-5.14273,-6.300879999999999
-5.14273,-6.20088
-5.14273,-6.10088
-5.14273,-6.0008799999999995
-5.14273,-5.90088
-5.14273,-5.800879999999999
-5.14273,-5.70088
-5.14273,-5.60088
-5.14273,-5.5008799999999995
-5.14273,-5.400879999999999
-5.14273,-5.300879999999999
-5.14273,-5.20088
-5.14273,-5.10088
-5.14273,-5.0008799999999995
-5.14273,-4.900879999999999
-5.14273,-4.800879999999999
-5.14273,-4.70088
-5.14273,-4.20088
-5.14273,-4.10088
-5.14273,-4.0008799999999995
-5.14273,-3.9008799999999995
-5.14273,-3.8008799999999994
-5.14273,-3.7008799999999997
-5.14273,-3.6008799999999996
-5.14273,-3.5008799999999995
-5.14273,-3.40088
-5.14273,-3.3008799999999994
-5.14273,-3.2008799999999997
-5.14273,-3.100879999999999
-5.14273,-3.0008799999999995
-5.14273,-2.90088
-5.14273,-2.8008799999999994
-5.14273,-2.7008799999999997
-5.14273,-2.600879999999999
-5.14273,-2.5008799999999995
-5.14273,-2.400879999999999
-5.14273,-2.3008799999999994
-5.14273,-2.2008799999999997
-5.14273,-2.100879999999999
-5.14273,-2.0008799999999995
-5.14273,-1.900879999999999
-5.14273,-1.8008799999999994
-5.14273,-1.7008799999999997
-5.14273,-1.6008799999999992
-5.14273,-1.5008799999999995
-5.14273,-1.400879999999999
-5.14273,-1.3008799999999994
-5.14273,-0.7008799999999997
-5.14273,0.19912000000000063
-5.14273,0.2991200000000003
-5.14273,0.3991200000000008
-5.14273,0.49912000000000045
-5.14273,0.599120000000001
-5.14273,0.6991200000000006
-5.14273,0.7991200000000003
-5.14273,0.8991199999999999
-5.14273,0.9991200000000013
-5.14273,1.099120000000001
-5.14273,1.1991200000000006
-5.14273,1.2991200000000003
-5.14273,1.39912
-5.14273,1.4991200000000013
-5.14273,1.599120000000001
-5.14273,1.6991200000000006
-5.14273,1.7991200000000003
-5.14273,1.89912
-5.14273,1.9991200000000013
-5.14273,2.099120000000001
-5.14273,2.1991200000000006
-5.14273,2.2991200000000003
-5.14273,2.3991200000000017
-5.14273,2.4991200000000013
-5.14273,2.599120000000001
-5.14273,2.6991200000000006
-5.14273,2.7991200000000003
-5.14273,2.8991200000000017
-5.14273,2.9991200000000013
-5.14273,3.099120000000001
-5.14273,3.1991200000000006
-5.14273,3.2991200000000003
-5.14273,3.3991200000000017
-5.14273,3.4991200000000013
