t_sim_s,step,x,y,z,yaw,vx,vy,vz
0.0,1,1.8572697639465332,-0.30087995529174805,0.4,1.5707963267948966,0.0,0.35,0.0
0.2,2,1.8572697639465332,-0.23087995529174804,0.4,1.5707963267948966,0.0,0.35,0.0
0.4,3,1.8172696685791017,-0.2008800506591797,0.4,3.141592653589793,-0.35,0.0,0.0
0.6000000000000001,4,1.7472696685791016,-0.2008800506591797,0.4,3.141592653589793,-0.35,0.0,0.0
0.8,5,1.6772696685791015,-0.2008800506591797,0.4,3.141592653589793,-0.35,0.0,0.0
1.0,6,1.6072696685791015,-0.2008800506591797,0.4,3.141592653589793,-0.35,0.0,0.0
1.2000000000000002,7,1.5572700500488281,-0.18087966918945309,0.4,1.5707963267948966,0.0,0.35,0.0
1.4000000000000001,8,1.5572700500488281,-0.11087966918945313,0.4,1.5707963267948966,0.0,0.35,0.0
1.6,9,1.4972695732116699,-0.10088014602661133,0.4,3.141592653589793,-0.35,0.0,0.0
1.8,10,1.42726957321167,-0.10088014602661133,0.4,3.141592653589793,-0.35,0.0,0.0
2.0,11,1.35726957321167,-0.10088014602661133,0.4,3.141592653589793,-0.35,0.0,0.0
2.2,12,1.28726957321167,-0.10088014602661133,0.4,3.141592653589793,-0.35,0.0,0.0
2.4000000000000004,13,1.2572698593139648,-0.060879859924316326,0.4,1.5707963267948966,0.0,0.35,0.0
2.6,14,1.2472699546813966,-0.0008797645568847656,0.4,3.141592653589793,-0.35,0.0,0.0
2.8000000000000003,15,1.1772699546813965,-0.0008797645568847656,0.4,3.141592653589793,-0.35,0.0,0.0
3.0,16,1.1572699546813965,0.04912023544311506,0.4,1.5707963267948966,0.0,0.35,0.0
3.2,17,1.137269859313965,0.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
3.4000000000000004,18,1.067269859313965,0.0991201400756836,0.4,3.141592653589793,-0.35,0.0,0.0
3.6,19,1.0572700500488281,0.15912033081054688,0.4,1.5707963267948966,0.0,0.35,0.0
3.8000000000000003,20,1.0272697639465331,0.19912004470825195,0.4,3.141592653589793,-0.35,0.0,0.0
4.0,21,0.9572697639465333,0.19912004470825195,0.4,3.141592653589793,-0.35,0.0,0.0
4.2,22,0.9572696685791016,0.2691199493408203,0.4,1.5707963267948966,0.0,0.35,0.0
4.4,23,0.9572696685791016,0.33911994934082035,0.4,1.5707963267948966,0.0,0.35,0.0
4.6000000000000005,24,0.9572696685791016,0.4091199493408204,0.4,1.5707963267948966,0.0,0.35,0.0
4.800000000000001,25,0.9572696685791016,0.4791199493408205,0.4,1.5707963267948966,0.0,0.35,0.0
5.0,26,0.9072699546813965,0.49912023544311523,0.4,3.141592653589793,-0.35,0.0,0.0
5.2,27,0.8572697639465332,0.5191200447082518,0.4,1.5707963267948966,0.0,0.35,0.0
5.4,28,0.8572697639465332,0.5891200447082519,0.4,1.5707963267948966,0.0,0.35,0.0
5.6000000000000005,29,0.8572697639465332,0.6591200447082519,0.4,1.5707963267948966,0.0,0.35,0.0
5.800000000000001,30,0.8272702407836912,0.6991205215454102,0.4,3.141592653589793,-0.35,0.0,0.0
6.0,31,0.7572702407836918,0.6991205215454102,0.4,3.141592653589793,-0.35,0.0,0.0
6.2,32,0.6872702407836915,0.6991205215454102,0.4,3.141592653589793,-0.35,0.0,0.0
6.4,33,0.6172702407836916,0.6991205215454102,0.4,3.141592653589793,-0.35,0.0,0.0
6.6000000000000005,34,0.5472702407836914,0.6991205215454102,0.4,3.141592653589793,-0.35,0.0,0.0
